代號,發行日,到期日,發行量億,流通張數,票面利率,擔保情形,轉換起始日,轉換價格,轉換比率,債券市價,標的股價,成交張數,轉換價值,溢折價,下一賣回日,下一賣回價,賣回收益率,債券名稱,到期剩餘天數,賣回剩餘天數
22363,2026-02-10,2031-02-10,2.5,2500,0,無,2026-05-11,118.1,846.740050804403,90.65,112.0,0,94.8348856900932,-0.044128125,2029-02-10,101.5,0.0402773528493985,百達三KY,1768,1038
61012,2026-01-30,2029-01-30,2.5,2500,0,無,2026-05-01,38.9,2570.6940874036,94.55,37.95,2,97.5578406169666,-0.0308313570487486,2028-01-30,101.0025,0.0367303595457433,寬魚國際二,1027,661
31882,2025-06-20,2028-06-20,6.0,5277,0,無,2025-09-21,28.4,3521.12676056338,98.05,27.6,7,97.1830985915493,0.00892028985507229,2027-06-20,102.01,0.0330840399993617,鑫龍騰二,803,437
84623,2023-04-14,2026-04-14,3.0,1116,0,無,2023-07-15,141.2,708.215297450425,100.0,138.5,0,98.0878186968839,0.0194945848375451,2026-04-14,100.0,0.0,柏文三,5,5
61843,2024-03-06,2027-03-06,15.0,13065,0,無,2024-06-07,49.4,2024.29149797571,99.1,47.7,0,96.5587044534413,0.0263186582809224,2027-03-06,101.5075,0.0262595270510249,大豐電三,331,331
33233,2023-06-02,2026-06-02,4.0,550,0,無,2023-09-03,32.6,3067.48466257669,100.4,31.8,52,97.5460122699386,0.0292578616352203,2026-06-02,101.5075,0.0678454675711389,加百裕三,54,54
14723,2025-06-17,2028-06-17,4.0,4000,0,無,2025-09-18,101.5,985.221674876847,97.5,95.9,0,94.4827586206897,0.0319343065693431,2027-06-17,102.01,0.0381348790095393,三洋實業三,800,434
45811,2025-08-15,2028-08-15,5.0,5000,0,無,2025-11-16,53.4,1872.65917602996,96.2,49.0,1,91.7602996254682,0.0483836734693878,2027-08-15,100.5,0.032436672647074,光隆精密一KY,859,493
36872,2025-10-02,2028-10-02,4.0,4000,0,無,2026-01-03,75.9,1317.52305665349,98.0,70.4,13,92.7536231884058,0.0565625,2027-10-02,100.500625,0.0169239330329067,歐買尬二,907,541
61994,2026-01-21,2029-01-21,3.5,3500,0,無,2026-04-22,114.8,871.080139372822,98.1,106.0,16,92.3344947735192,0.0624415094339622,2028-01-21,102.01,0.0218831474569601,天品四,1018,652
68462,2025-03-25,2030-03-25,3.5,3489,0,無,2025-06-26,78.0,1282.05128205128,97.95,71.0,0,91.025641025641,0.0760704225352114,2028-03-25,101.5075,0.0181736413722773,綠茵二,1446,716
36873,2025-10-03,2028-10-03,2.0,1999,0,無,2026-01-04,80.1,1248.43945068664,94.6,70.4,6,87.8901373283396,0.0763437499999999,2027-10-03,100.0,0.0375968905452231,歐買尬三,908,542
30454,2025-02-24,2030-02-24,70.0,70000,0,無,2025-05-25,118.2,846.023688663283,99.8,109.5,19,92.6395939086294,0.0772931506849315,2028-02-24,100.0,0.00105500197455277,台灣大四,1417,686
84113,2025-08-01,2030-08-01,12.0,12000,0,有，玉山商業銀行股份有限公司,2025-11-02,13.3,7518.7969924812,100.15,12.25,23,92.1052631578947,0.0873428571428572,2028-08-01,100.7519,0.00257029161216105,福貞三KY,1575,845
68401,2024-05-27,2027-05-27,2.0,1986,0,無,2024-08-28,65.7,1522.0700152207,99.1,59.5,0,90.5631659056317,0.0942638655462184,2027-05-27,101.51,0.0211009082803193,東研信超一,413,413
68461,2025-03-13,2030-03-13,3.5,3490,0,無,2025-06-14,80.4,1243.78109452736,97.0,71.0,10,88.3084577114428,0.0984225352112676,2028-03-13,101.5075,0.0235917391757889,綠茵一,1434,704
